,飯店編號,距離市中心
0,762749,"西區, 台中市 - 位於市中心"
1,798543,"西屯區, 台中市 - 距市中心4.4公里"
2,5288,"西屯區, 台中市 - 距市中心2.4公里"
3,304391,"北屯區, 台中市 - 距市中心4.3公里"
4,1573604,"西區, 台中市 - 距市中心1.2公里"
5,6425500,"逢甲, 台中市 - 距市中心5.1公里"
6,161830,"逢甲, 台中市 - 距市中心4.9公里"
7,574301,"逢甲, 台中市 - 距市中心5.0公里"
8,528878,"東區, 台中市 - 距市中心0.2公里"
9,4645481,"西屯區, 台中市 - 距市中心3.1公里"
10,407479,"西屯區, 台中市 - 距市中心3.6公里"
11,4889,"西屯區, 台中市 - 距市中心2.5公里"
12,1159063,"中區, 台中市 - 位於市中心"
13,3552153,"中區, 台中市 - 位於市中心"
14,9114975,"西區, 台中市 - 距市中心1.8公里"
15,246346,"西區, 台中市 - 距市中心1.5公里"
16,3578462,"西屯區, 台中市 - 距市中心4.8公里"
17,5056282,"逢甲, 台中市 - 距市中心5.1公里"
18,31429710,"龍井鄉, 台中市 - 距市中心15.8公里"
19,5819,"西區, 台中市 - 距市中心1.8公里"
20,234438,"西屯區, 台中市 - 距市中心4.8公里"
21,4973327,"西區, 台中市 - 距市中心0.9公里"
22,149167,"南屯區, 台中市 - 距市中心2.5公里"
23,174390,"北屯區, 台中市 - 距市中心4.4公里"
24,773214,"逢甲, 台中市 - 距市中心4.6公里"
25,17985363,"北區, 台中市 - 位於市中心"
26,181848,"西區, 台中市 - 距市中心1.7公里"
27,29149415,"中區, 台中市 - 位於市中心"
28,14883372,"西區, 台中市 - 距市中心1.8公里"
29,4576031,"北區, 台中市 - 距市中心0.4公里"
30,248403,"西屯區, 台中市 - 距市中心6.5公里"
31,12212364,"北區, 台中市 - 位於市中心"
32,535693,"逢甲, 台中市 - 距市中心5.0公里"
33,292360,"西屯區, 台中市 - 距市中心2.5公里"
34,17526138,"南屯區, 台中市 - 距市中心3.0公里"
35,10672011,"清水區, 台中市 - 距市中心17.9公里"
36,5795498,"逢甲, 台中市 - 距市中心4.7公里"
37,782687,"逢甲, 台中市 - 距市中心5.1公里"
38,28393234,"龍井鄉, 台中市 - 距市中心10.1公里"
39,2405061,"東區, 台中市 - 距市中心0.4公里"
40,336387,"東區, 台中市 - 距市中心0.1公里"
41,11300024,"逢甲, 台中市 - 距市中心5.0公里"
42,411750,"中區, 台中市 - 位於市中心"
43,2971561,"逢甲, 台中市 - 距市中心4.6公里"
44,12166206,"北區, 台中市 - 位於市中心"
45,69185,"北屯區, 台中市 - 距市中心1.8公里"
46,7585,"西屯區, 台中市 - 距市中心6.4公里"
47,31496613,"豐原區, 台中市 - 距市中心11.8公里"
48,303012,"中區, 台中市 - 位於市中心"
49,4415812,"東區, 台中市 - 距市中心0.4公里"
50,28536909,"龍井鄉, 台中市 - 距市中心10.3公里"
51,255728,"逢甲, 台中市 - 距市中心4.8公里"
52,445801,"北區, 台中市 - 距市中心1.3公里"
53,665570,"中區, 台中市 - 位於市中心"
54,7424779,"逢甲, 台中市 - 距市中心4.5公里"
55,1148754,"東區, 台中市 - 距市中心0.7公里"
56,1135397,"西區, 台中市 - 距市中心1.7公里"
57,5862575,"烏日區, 台中市 - 距市中心6.7公里"
58,15971118,"大雅區, 台中市 - 距市中心8.7公里"
59,2733310,"西區, 台中市 - 距市中心2.0公里"
60,444492,"西屯區, 台中市 - 距市中心3.7公里"
61,31438648,"龍井鄉, 台中市 - 距市中心15.8公里"
62,28533906,"逢甲, 台中市 - 距市中心4.8公里"
63,335867,"后里區, 台中市 - 距市中心18.1公里"
64,570005,"逢甲, 台中市 - 距市中心5.2公里"
65,8528193,"北區, 台中市 - 位於市中心"
66,4415622,"中區, 台中市 - 位於市中心"
67,807006,"逢甲, 台中市 - 距市中心4.8公里"
68,8547205,"北區, 台中市 - 位於市中心"
69,236983,"烏日區, 台中市 - 距市中心8.7公里"
70,9796019,"西區, 台中市 - 距市中心0.8公里"
71,12167160,"逢甲, 台中市 - 距市中心5.1公里"
72,547899,"中區, 台中市 - 位於市中心"
73,262575,"北屯區, 台中市 - 距市中心8.8公里"
74,10564014,"逢甲, 台中市 - 距市中心5.1公里"
75,21585947,"太平區, 台中市 - 距市中心3.7公里"
76,1400088,"西屯區, 台中市 - 距市中心4.1公里"
77,5943553,"北區, 台中市 - 位於市中心"
78,29403982,"清水區, 台中市 - 距市中心21.3公里"
79,2264704,"西區, 台中市 - 距市中心0.9公里"
80,5824851,"西屯區, 台中市 - 距市中心3.9公里"
81,10564168,"南屯區, 台中市 - 距市中心5.7公里"
82,69019,"北區, 台中市 - 距市中心0.2公里"
83,446412,"北區, 台中市 - 位於市中心"
84,6915990,"中區, 台中市 - 位於市中心"
85,1070209,"南屯區, 台中市 - 距市中心4.4公里"
86,2569726,"逢甲, 台中市 - 距市中心5.0公里"
87,8186321,"逢甲, 台中市 - 距市中心4.9公里"
88,433342,"梧棲區, 台中市 - 距市中心19.2公里"
89,527771,"中區, 台中市 - 位於市中心"
90,6948019,"逢甲, 台中市 - 距市中心5.7公里"
91,399450,"西屯區, 台中市 - 距市中心4.1公里"
92,1031516,"大雅區, 台中市 - 距市中心8.6公里"
93,1414975,"逢甲, 台中市 - 距市中心5.1公里"
94,1196211,"西屯區, 台中市 - 距市中心2.9公里"
95,487752,"西區, 台中市 - 距市中心2.1公里"
96,734798,"谷關, 台中市 - 距市中心32.1公里"
97,5441478,"北區, 台中市 - 距市中心0.2公里"
98,2279955,"逢甲, 台中市 - 距市中心5.0公里"
99,4846263,"逢甲, 台中市 - 距市中心5.2公里"
100,687216,"北區, 台中市 - 位於市中心"
101,10947970,"北區, 台中市 - 距市中心1.3公里"
102,292676,"谷關, 台中市 - 距市中心27.3公里"
103,5891777,"中區, 台中市 - 位於市中心"
104,6165939,"西屯區, 台中市 - 距市中心3.8公里"
105,1162573,"西屯區, 台中市 - 距市中心4.8公里"
106,861981,"逢甲, 台中市 - 距市中心5.3公里"
107,502276,"東區, 台中市 - 距市中心0.3公里"
108,186891,"南屯區, 台中市 - 距市中心6.7公里"
109,6856799,"北區, 台中市 - 距市中心0.3公里"
110,1177990,"南屯區, 台中市 - 距市中心4.8公里"
111,25066676,"逢甲, 台中市 - 距市中心4.7公里"
112,7031776,"北屯區, 台中市 - 距市中心4.1公里"
113,564498,"南屯區, 台中市 - 距市中心3.3公里"
114,25934748,"南區, 台中市 - 距市中心0.7公里"
115,4138262,"西區, 台中市 - 距市中心2.0公里"
116,300680,"中區, 台中市 - 位於市中心"
117,149099,"中區, 台中市 - 位於市中心"
118,67023,"北區, 台中市 - 距市中心0.2公里"
119,256240,"西屯區, 台中市 - 距市中心4.4公里"
120,7447452,"中區, 台中市 - 位於市中心"
121,256061,"梧棲區, 台中市 - 距市中心19.1公里"
122,6377126,"逢甲, 台中市 - 距市中心5.7公里"
123,6546318,"中區, 台中市 - 位於市中心"
124,27851969,"中區, 台中市 - 位於市中心"
125,1200570,"西區, 台中市 - 距市中心0.9公里"
126,730333,"和平區, 台中市 - 距市中心57.9公里"
127,2307880,"北區, 台中市 - 距市中心0.3公里"
128,1160085,"西區, 台中市 - 距市中心0.4公里"
129,434053,"東區, 台中市 - 距市中心88公尺"
130,734797,"北區, 台中市 - 位於市中心"
131,522587,"中區, 台中市 - 位於市中心"
132,8110292,"中區, 台中市 - 位於市中心"
133,20998886,"中區, 台中市 - 位於市中心"
134,6428111,"北區, 台中市 - 距市中心0.4公里"
135,4842342,"太平區, 台中市 - 距市中心2.5公里"
136,9883664,"西區, 台中市 - 距市中心1.3公里"
137,1158177,"逢甲, 台中市 - 距市中心5.6公里"
138,6913274,"東區, 台中市 - 距市中心0.3公里"
139,1254507,"逢甲, 台中市 - 距市中心5.7公里"
140,2374878,"西區, 台中市 - 距市中心1.4公里"
141,16478713,"中區, 台中市 - 位於市中心"
142,10558579,"逢甲, 台中市 - 距市中心5.0公里"
143,246344,"豐原區, 台中市 - 距市中心10.9公里"
144,1723744,"中區, 台中市 - 位於市中心"
145,928918,"北區, 台中市 - 位於市中心"
146,245747,"中區, 台中市 - 位於市中心"
147,7260156,"逢甲, 台中市 - 距市中心4.3公里"
148,252345,"南屯區, 台中市 - 距市中心3.0公里"
149,6994144,"逢甲, 台中市 - 距市中心4.9公里"
150,2100518,"新社區, 台中市 - 距市中心11.7公里"
151,6510594,"北屯區, 台中市 - 距市中心4.5公里"
